Numéro pdc;Numéro station;n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
1;16;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*16*_*_*_;Grasse Stade Perdigon;Chemin du Grand Chêne;06069;6.932813;43.637277;2;FR*A16*E*WIIZ*16*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;16;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*16*_*_*_;Grasse Stade Perdigon;Chemin du Grand Chêne;06069;6.932813;43.637277;2;FR*A16*E*WIIZ*16*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
1;17;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*17*_*_*_;La Roquette-sur-Siagne Parking St Jean;Avenue de la République;06108;6.947942;43.580188;2;FR*A16*E*WIIZ*17*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;17;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*17*_*_*_;La Roquette-sur-Siagne Parking St Jean;Avenue de la République;06108;6.947942;43.580188;2;FR*A16*E*WIIZ*17*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
1;20;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*20*_*_*_;Auribeau-sur-Siagne Parking du Bayle;Rue Jean Giono;06007;6.913658 ;43.607715;2;FR*A16*E*WIIZ*20*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;20;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*20*_*_*_;Auribeau-sur-Siagne Parking du Bayle;Rue Jean Giono;06007;6.913658 ;43.607715;2;FR*A16*E*WIIZ*20*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
1;21;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*21*_*_*_;Grasse Parking Place du Cours Honoré Cresp;Place du Cours Honoré Cresp;06069;6.920399;43.656431;2;FR*A16*E*WIIZ*21*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
2;21;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*21*_*_*_;Grasse Parking Place du Cours Honoré Cresp;Place du Cours Honoré Cresp;06069;6.920399;43.656431;3;FR*A16*E*WIIZ*21*1*2*_;22;E/F-T2;payant;24h/25;badge, appli et QR code;2018/07/06
1;22;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*22*_*_*_;Grasse Parking Place Ste Hélène;Avenue Louis Cauvin;06069;6.958667;43.642219;2;FR*A16*E*WIIZ*22*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;22;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*22*_*_*_;Grasse Parking Place Ste Hélène;Avenue Louis Cauvin;06069;6.958667;43.642219;2;FR*A16*E*WIIZ*22*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
